Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Osli,385,Győr-Moson-Sopron,"47,38,57-17,06,24",2024,ezüst juhar,Teket Attila
Sántos,385,Somogy,"46,20,04-17,53,04",2020,mezei juhar,Schmidt András
Hárskút,384,Veszprém,"47,12,20-17,46,30",2022,mezei juhar,Teket Attila
Szilvásvárad,382,Heves,"48,05,21-20,24,14",2008,hegyi juhar,
Mosdós,382,Somogy,"46,21,20-17,59,42",2019,hegyi juhar,Sólyom Attila; magasság: 30 m/2019
Somogytarnóca,382,Somogy,"46,00,30-17,27,31",2010,korai juhar,
Füzérradvány,381,Borsod-Abaúj-Zemplén,"48,29,08-21,32,01",2019,korai juhar,Szél Győző
Óbánya,381,Baranya,"46,13,17-18,24,12",2010,ezüst juhar,398/2014
Barcs/Kisbók,379,Somogy,"45,56,49-17,31,19",2016,mezei juhar,
Osli,379,Győr-Moson-Sopron,"47,38,58-17,06,25",2024,ezüst juhar,Teket Attila
Magyarszecsőd,378,Vas,"47,02,29-16,38,59",2018,hegyi juhar,"Torma Zoltánné, Torma Zoltán"
Szentmártonkáta,378,Pest,"47,28,25-19,42,13",2012,korai juhar,Lesti Szabolcs
Kőszeg,376,Vas,"47,23,31-16,32,57",2009,hegyi juhar,"380/2017, 387/2021, 393/2025"
Budapest,376,Pest,"47,31,50-19,03,07",2014,korai juhar,Szél Győző
Mezőberény,375,Békés,"46,51,45-21,03,56",2025,zöld juhar,
Osli,374,Győr-Moson-Sopron,"47,38,53-17,06,09",2024,ezüst juhar,Teket Attila
Szigliget,372,Veszprém,"46,48,06-17,25,52",2011,korai juhar,Baranyai László
Szeged,372,Csongrád,"46,14,57-20,11,54",2021,ezüst juhar,
Lajosháza,372,Somogy,"46,06,02-17,39,08",2009,mezei juhar,Lukács Róbert
Görcsöny,371,Baranya,"45,58,19-18,08,02",2014,mezei juhar,"Torma Zoltánné, Torma Zoltán"
Herend,370,Veszprém,"47,09,02-17,46,12",2008,mezei juhar,Baranyai László; 403/2023
Csorna,369,Győr-Moson-Sopron,"47,39,05-17,06,47",2024,ezüst juhar,Teket Attila
Szentlőrinc,367,Baranya,"46,02,24-17,59,14",2020,zöld juhar,Ulmer Eszter
Siófok,367,Somogy,"46,54,25-18,02,53",2017,zöld juhar,magasság: 17 m/2017
Csesznek,366,Veszprém,"47,18,49-17,52,17",2015,hegyi juhar,Jandala Attila
Rakamaz,366,Szabolcs-Szatmár-Bereg,"48,07,36-21,27,31",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Osli,366,Győr-Moson-Sopron,"47,38,57-17,06,23",2024,ezüst juhar,Teket Attila
Pamuk,366,Somogy,"46,31,43-17,37,36",2021,mezei juhar,Sólyom Attila; magasság: 21 m/2021
Balatonfenyves,365,Somogy,"46,39,40-17,27,25",2017,ezüst juhar,
Celldömölk,365,Vas,"47,15,30-17,08,52",2019,ezüst juhar,Teket Attila
Makád,365,Pest,"47,05,39-18,53,46",2026,zöld juhar,Baranyai László
Gemenc,364,Bács-Kiskun,"46,13,40-18,52,37",2018,zöld juhar,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten"
Somogyvár,364,Somogy,"46,34,40-17,38,49",2007,mezei juhar,
Gávavencsellő,364,Szabolcs-Szatmár-Bereg,"48,10,20-21,33,38",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Herend,362,Veszprém,"47,09,04-17,46,17",2023,mezei juhar,Teket Attila
Osli,362,Győr-Moson-Sopron,"47,38,58-17,06,26",2024,ezüst juhar,Teket Attila
Rakamaz,362,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,28",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Görcsöny,362,Baranya,"45,58,11-18,08,10",2014,ezüstjuhar,"Torma Zoltánné, Torma Zoltán"
Pilisszentkereszt,362,Pest,"47,41,55-18,53,05",2023,hegyi juhar,
Sikonda,361,Baranya,"46,10,30-18,13,57",2008,mezei juhar,Lukács Róbert
Hegyszentmárton,360,Baranya,"45,53,53-18,06,28",2014,mezei juhar,"Tóth Viktória, Erdős László"
Bolhó,360,Somogy,"46,00,55-17,16,50",2012,mezei juhar,Szél Győző
Bakonyszücs,360,Veszprém,"47,18,38-17,41,45",2017,mezei juhar,Jandala Attila; magasság: 19 m/2017
Szászvár,359,Baranya,"46,16,21-18,23,00",2019,ezüst juhar,2023-ban kivágták (Schneidler Viktor)
Osli,358,Győr-Moson-Sopron,"47,38,56-17,06,20",2024,ezüst juhar,Teket Attila
Vác,358,Pest,"47,50,51-19,08,46",2017,mezei juhar,"Lesti Szabolcs, Torma Zoltán, Torma Zoltánné; Szendehely-Katalinpusztáról lehet megközelíteni, de a völgynek ez a fele Váchoz tartozik."
Szeged,358,Csongrád,"46,14,44-20,12,26",2021,ezüst juhar,
Böhönye,357,Somogy,"46,23,35-17,23,57",2011,mezei juhar,Lukács Róbert
Ötvöskónyi,356,Somogy,"46,17,01-17,21,36",2023,zöld juhar,"Torma Zoltánné, Torma Zoltán"
Kőszeg,356,Vas,"47,23,34-16,32,54",2025,ezüst juhar,
Gávavencsellő,356,Szabolcs-Szatmár-Bereg,"48,10,19-21,33,39",2017,hegyi juhar,"Zoltánné Torma, Zoltán Torma, Ágnes Torma; magasság: 25 m/2017"
Lókút,356,Veszprém,"47,12,24-17,50,49",2021,hegyi juhar,Tóth Sándor
Marcali,355,Somogy,"46,34,48-17,24,29",2015,korai juhar,Sólyom Attila
Szilvásvárad,355,Heves,"48,06,17-20,23,31",2023,korai juhar,"Torma Zoltánné, Torma Zoltán"
Kapolcs,355,Veszprém,"46,57,17-17,36,23",2024,ezüst juhar,Szabó János
Sikonda,355,Baranya,"46,10,27-18,14,06",2008,mezei juhar,Lukács Róbert
Vámosmikola,355,Nógrád,"47,56,53-18,46,52",2016,ezüst juhar,Szél Győző
Szeged,355,Csongrád,"46,14,49-20,12,14",2021,ezüst juhar,
Lad,353,Somogy,"46,08,53-17,39,22",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán"
Bolhó,353,Somogy,"46,00,58-17,16,53",2012,mezei juhar,Szél Győző
Budapest,353,Pest,"47,28,47-19,06,54",2014,ezüstjuhar,Szél Győző
Rinyabesenyő,352,Somogy,"46,10,01-17,31,08",2019,ezüst juhar,
Iharos,352,Somogy,"46,20,30-17,06,04",2016,hegyi juhar,"Torma Zoltán, Torma Zoltánné"
Gemenc,352,Tolna,"46,16,17-18,52,39",2009,zöld juhar,
Balatonfüred,351,Veszprém,"46,57,15-17,53,37",2009,ezüst juhar,
