Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Gávavencsellő,320,Szabolcs-Szatmár-Bereg,"48,10,16-21,33,36",2017,korai juhar,
Kisgyőr,320,Borsod-Abaúj-Zemplén,"48,02,05-20,36,24",2019,mezei juhar,"Torma Zoltánné, Torma Zoltán"
Csesznek,319,Veszprém,"47,18,45-17,52,23",2015,mezei juhar,Jandala Attila
Herend,318,Veszprém,"47,09,06-17,46,17",2023,mezei juhar,Teket Attila
Révfülöp,318,Veszprém,"46,49,35-17,37,57",2020,ezüst juhar,Teket Attila
Tengelic/Középhídvég,318,Tolna,"46,31,11-18,38,07",2013,korai juhar,"Elblinger Ferenc, Torma Zoltán, Torma Zoltánné"
Böhönye,317,Somogy,"46,24,24-17,23,27",2020,mezei juhar,Schmidt András
Iharos,317,Somogy,"46,20,28-17,06,10",2016,hegyi juhar,"Torma Zoltán, Torma Zoltánné; kidőlt 2017-2018 között (Nagy Dániel)"
Szeged,317,Csongrád,"46,14,50-20,12,12",2021,ezüst juhar,
Lad,317,Somogy,"46,08,55-17,39,10",2017,mezei juhar,"Torma Zoltánné, Torma Zoltán"
Kéthely,316,Somogy,"46,37,56-17,25,05",2018,zöld juhar,Szél Győző
Somogyfajsz,316,Somogy,"46,28,48-17,34,02",2016,mezei juhar,"Süle László, Sólyom Attila"
Gyugy**,315,Somogy,"46,41,45-17,41,37",2020,mezei juhar,Sólyom Attila
Gamás,315,Somogy,"46,37,14-17,47,06",2014,mezei juhar,Sólyom Attila
Pilisszentkereszt,314,Pest,"47,42,16-18,52,35",2023,mezei juhar,"Torma Zoltánné, Torma Zoltán, Szőcs Gergely"
Böhönye,314,Somogy,"46,24,24-17,23,26",2020,mezei juhar,Schmidt András
Tápióság,314,Pest,"47,22,32-19,37,55",2019,zöld juhar,Lesti Szabolcs
Bükkszentkereszt,314,Borsod-Abaúj-Zemplén,"48,02,36-20,37,18",2016,korai juhar,
Csorna,314,Győr-Moson-Sopron,"47,39,20-17,07,33",2024,ezüst juhar,Teket Attila
Bóly,313,Baranya,"45,58,08-18,30,43",2014,ezüstjuhar,"Torma Zoltánné, Torma Zoltán; 2021: nincs meg"
Rakamaz,313,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,27",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Hollád,313,Somogy,"46,37,59-17,19,08",2017,mezei juhar,Sólyom Attila
Ötvöskónyi,313,Somogy,"46,17,07-17,21,35",2023,zöld juhar,"Torma Zoltánné, Torma Zoltán"
Füzér,313,Borsod-Abaúj-Zemplén,"48,35,04-21,26,14",2019,hegyi juhar,"Torma Zoltánné, Torma Zoltán; magasság: 33 m/2019"
Somogybükkösd,312,Somogy,"46,18,02-16,59,16",2017,mezei juhar,"Torma Zoltánné, Torma Zoltán"
Olaszfalu/Felsőpere,312,Veszprém,"47,15,39-17,56,10",2013,mezei juhar,Jandala Attila
Bokod,312,Komárom-Esztergom,"47,27,40-18,15,51",2014,mezei juhar,"Szél Győző, Daniló Eszter"
Gönc,312,Borsod-Abaúj-Zemplén,"48,28,35-21,19,35",2020,mezei juhar,
Felsőtárkány,312,Heves,"48,00,58-20,26,04",2017,korai juhar,
Osli,312,Győr-Moson-Sopron,"47,38,58-17,06,27",2024,ezüst juhar,Teket Attila
Kisgyőr,311,Borsod-Abaúj-Zemplén,"48,02,34-20,37,20",2019,hegyi juhar,"Torma Zoltánné, Torma Zoltán"
Váralja,311,Baranya,"46,14,50-18,25,15",2015,mezei juhar,Elblinger Ferenc
